steps,guidance,clip_score,aesthetic_score,aes_v2_score,hps_v2_score,elapsed_ms,seed
4,0.68,0.22534114122390747,3.759333610534668,3.8553271293640137,0.136962890625,167,610863901
4,1.05,0.24945928156375885,4.18236780166626,4.376347541809082,0.152587890625,241,1052945864
4,1.16,0.24383673071861267,3.982456684112549,4.116642475128174,0.133544921875,215,341775153
4,1.29,0.2514636218547821,4.33907413482666,4.354966163635254,0.1307373046875,201,1111738457
4,1.4,0.25280067324638367,4.677626609802246,4.441974639892578,0.11627197265625,213,492456646
4,1.53,0.18547536432743073,4.146234035491943,4.112995147705078,0.1044921875,220,1301330
4,2,0.2547558844089508,4.673529624938965,4.741013526916504,0.1480712890625,200,490691999
4,2.17,0.29128360748291016,5.330999374389648,5.4710307121276855,0.1361083984375,235,1292304307
4,2.18,0.2561720013618469,5.026351451873779,5.2802934646606445,0.1396484375,203,1486349678
4,2.2,0.24236677587032318,4.14621114730835,4.449010372161865,0.14794921875,214,693881199
4,2.24,0.24071268737316132,5.304585933685303,5.4881181716918945,0.119873046875,229,1162274246
4,2.34,0.2668824791908264,4.823970794677734,5.025060653686523,0.122314453125,241,788181932
4,3.71,0.24648740887641907,5.654560565948486,6.172249794006348,0.140625,231,1691029479
4,3.77,0.291726678609848,5.916015148162842,6.225960731506348,0.16943359375,201,1131590492
4,4.09,0.2715684473514557,4.52951192855835,4.515676975250244,0.155029296875,240,638599974
4,4.11,0.3151639997959137,5.409153938293457,5.47513484954834,0.12939453125,212,1873840405
4,4.62,0.2625647485256195,5.203972339630127,5.256588459014893,0.19140625,206,1235017265
4,4.92,0.2961142659187317,5.410662651062012,5.426639080047607,0.1510009765625,215,1186835489
4,5.23,0.2787728011608124,5.829394817352295,5.905484199523926,0.131103515625,238,422662930
4,5.4,0.31571489572525024,5.426589012145996,5.450847625732422,0.1834716796875,202,1189165987
4,6.33,0.18959201872348785,3.6154675483703613,3.6775689125061035,0.1435546875,232,1641120119
4,6.97,0.3050718903541565,4.763411045074463,5.05598258972168,0.165771484375,229,60780963
4,7.17,0.1733228862285614,3.8012280464172363,3.569504737854004,0.1295166015625,208,942206587
4,7.4,0.12562714517116547,4.905868053436279,5.214391708374023,0.1722412109375,231,1274376995
4,7.79,0.281218022108078,5.466380596160889,5.760578155517578,0.162353515625,231,1968709230
4,7.94,0.3194584548473358,4.80087423324585,4.81727409362793,0.1519775390625,240,93301174
4,8.26,0.16258318722248077,4.237173080444336,4.017127513885498,0.1424560546875,205,510218806
4,8.8,0.11494705080986023,4.552343368530273,4.704740524291992,0.1566162109375,224,1792909840
4,9.16,0.25792697072029114,5.097801208496094,5.2769880294799805,0.16650390625,233,635620263
4,9.37,0.2460586577653885,4.580691814422607,4.780118465423584,0.1568603515625,220,1274257902
4,9.9,0.18289165198802948,4.610492706298828,5.010019779205322,0.1639404296875,221,1464044941
